Indicator Name,Indicator Code,Indicator Name and Definition
Methane (CH4) emissions from Fugitive Emissions (Energy) (Mt CO2e),EN.GHG.CH4.FE.MT.CE.AR5,EN.GHG.CH4.FE.MT.CE.AR5 - Methane (CH4) emissions from Fugitive Emissions (Energy) (Mt CO2e)
Methane (CH4) emissions from Industrial Combustion (Energy) (Mt CO2e),EN.GHG.CH4.IC.MT.CE.AR5,EN.GHG.CH4.IC.MT.CE.AR5 - Methane (CH4) emissions from Industrial Combustion (Energy) (Mt CO2e)
Methane (CH4) emissions from Industrial Processes (Mt CO2e),EN.GHG.CH4.IP.MT.CE.AR5,EN.GHG.CH4.IP.MT.CE.AR5 - Methane (CH4) emissions from Industrial Processes (Mt CO2e)
Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e),EN.GHG.CH4.PI.MT.CE.AR5,EN.GHG.CH4.PI.MT.CE.AR5 - Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e)
Methane (CH4) emissions from Transport (Energy) (Mt CO2e),EN.GHG.CH4.TR.MT.CE.AR5,EN.GHG.CH4.TR.MT.CE.AR5 - Methane (CH4) emissions from Transport (Energy) (Mt CO2e)
Methane (CH4) emissions from Waste (Mt CO2e),EN.GHG.CH4.WA.MT.CE.AR5,EN.GHG.CH4.WA.MT.CE.AR5 - Methane (CH4) emissions from Waste (Mt CO2e)
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,MS.MIL.XPND.GD.ZS - Military expenditure (% of GDP)
Military expenditure (% of general government expenditure),MS.MIL.XPND.ZS,MS.MIL.XPND.ZS - Military expenditure (% of general government expenditure)
Military expenditure (current LCU),MS.MIL.XPND.CN,MS.MIL.XPND.CN - Military expenditure (current LCU)
Military expenditure (current USD),MS.MIL.XPND.CD,MS.MIL.XPND.CD - Military expenditure (current USD)
Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,NY.GDP.MINR.RT.ZS - Mineral rents (% of GDP)
Mobile cellular subscriptions,IT.CEL.SETS,IT.CEL.SETS - Mobile cellular subscriptions
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,IT.CEL.SETS.P2 - Mobile cellular subscriptions (per 100 people)
Monetary Sector credit to private sector (% GDP),FM.AST.PRVT.GD.ZS,FM.AST.PRVT.GD.ZS - Monetary Sector credit to private sector (% GDP)
"Mortality caused by road traffic injury (per 100,000 population)",SH.STA.TRAF.P5,"SH.STA.TRAF.P5 - Mortality caused by road traffic injury (per 100,000 population)"
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",SH.DYN.NCOM.ZS,"SH.DYN.NCOM.ZS - Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)"
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)",SH.DYN.NCOM.FE.ZS,"SH.DYN.NCOM.FE.ZS - Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)"
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)",SH.DYN.NCOM.MA.ZS,"SH.DYN.NCOM.MA.ZS - Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)"
"Mortality rate attributed to household and ambient air pollution, age-standardized (per 100,000 population)",SH.STA.AIRP.P5,"SH.STA.AIRP.P5 - Mortality rate attributed to household and ambient air pollution, age-standardized (per 100,000 population)"
"Mortality rate attributed to household and ambient air pollution, age-standardized, female (per 100,000 female population)",SH.STA.AIRP.FE.P5,"SH.STA.AIRP.FE.P5 - Mortality rate attributed to household and ambient air pollution, age-standardized, female (per 100,000 female population)"
"Mortality rate attributed to household and ambient air pollution, age-standardized, male (per 100,000 male population)",SH.STA.AIRP.MA.P5,"SH.STA.AIRP.MA.P5 - Mortality rate attributed to household and ambient air pollution, age-standardized, male (per 100,000 male population)"
"Mortality rate attributed to unintentional poisoning (per 100,000 population)",SH.STA.POIS.P5,"SH.STA.POIS.P5 - Mortality rate attributed to unintentional poisoning (per 100,000 population)"
"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)",SH.STA.POIS.P5.FE,"SH.STA.POIS.P5.FE - Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)"
"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)",SH.STA.POIS.P5.MA,"SH.STA.POIS.P5.MA - Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)"
"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",SH.STA.WASH.P5,"SH.STA.WASH.P5 - Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)"
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,"SP.DYN.AMRT.FE - Mortality rate, adult, female (per 1,000 female adults)"
"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,"SP.DYN.AMRT.MA - Mortality rate, adult, male (per 1,000 male adults)"
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,"SP.DYN.IMRT.IN - Mortality rate, infant (per 1,000 live births)"
"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,"SP.DYN.IMRT.FE.IN - Mortality rate, infant, female (per 1,000 live births)"
"Mortality rate, infant, male (per 1,000 live births)",SP.DYN.IMRT.MA.IN,"SP.DYN.IMRT.MA.IN - Mortality rate, infant, male (per 1,000 live births)"
"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT,"SH.DYN.NMRT - Mortality rate, neonatal (per 1,000 live births)"
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,"SH.DYN.MORT - Mortality rate, under-5 (per 1,000 live births)"
"Mortality rate, under-5, female (per 1,000 live births)",SH.DYN.MORT.FE,"SH.DYN.MORT.FE - Mortality rate, under-5, female (per 1,000 live births)"
"Mortality rate, under-5, male (per 1,000 live births)",SH.DYN.MORT.MA,"SH.DYN.MORT.MA - Mortality rate, under-5, male (per 1,000 live births)"
Multidimensional poverty headcount ratio (UNDP) (% of population),SI.POV.MPUN,SI.POV.MPUN - Multidimensional poverty headcount ratio (UNDP) (% of population)
Multidimensional poverty headcount ratio (World Bank) (% of population),SI.POV.MPWB,SI.POV.MPWB - Multidimensional poverty headcount ratio (World Bank) (% of population)
Multilateral debt service (% of public and publicly guaranteed debt service),DT.TDS.MLAT.PG.ZS,DT.TDS.MLAT.PG.ZS - Multilateral debt service (% of public and publicly guaranteed debt service)
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,"DT.TDS.MLAT.CD - Multilateral debt service (TDS, current US$)"
Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,NY.GDP.NGAS.RT.ZS - Natural gas rents (% of GDP)
Net acquisition of financial assets (% of GDP),GC.AST.TOTL.GD.ZS,GC.AST.TOTL.GD.ZS - Net acquisition of financial assets (% of GDP)
Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,GC.AST.TOTL.CN - Net acquisition of financial assets (current LCU)
Net barter terms of trade index (2015 = 100),TT.PRI.MRCH.XD.WD,TT.PRI.MRCH.XD.WD - Net barter terms of trade index (2015 = 100)
"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,"DC.DAC.AUSL.CD - Net bilateral aid flows from DAC donors, Australia (current US$)"
"Net bilateral aid flows from DAC donors, Austria (current US$)",DC.DAC.AUTL.CD,"DC.DAC.AUTL.CD - Net bilateral aid flows from DAC donors, Austria (current US$)"
"Net bilateral aid flows from DAC donors, Belgium (current US$)",DC.DAC.BELL.CD,"DC.DAC.BELL.CD - Net bilateral aid flows from DAC donors, Belgium (current US$)"
"Net bilateral aid flows from DAC donors, Canada (current US$)",DC.DAC.CANL.CD,"DC.DAC.CANL.CD - Net bilateral aid flows from DAC donors, Canada (current US$)"
"Net bilateral aid flows from DAC donors, Czechia (current US$)",DC.DAC.CZEL.CD,"DC.DAC.CZEL.CD - Net bilateral aid flows from DAC donors, Czechia (current US$)"
"Net bilateral aid flows from DAC donors, Denmark (current US$)",DC.DAC.DNKL.CD,"DC.DAC.DNKL.CD - Net bilateral aid flows from DAC donors, Denmark (current US$)"
"Net bilateral aid flows from DAC donors, Estonia (current US$)",DC.DAC.ESTL.CD,"DC.DAC.ESTL.CD - Net bilateral aid flows from DAC donors, Estonia (current US$)"
"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",DC.DAC.CECL.CD,"DC.DAC.CECL.CD - Net bilateral aid flows from DAC donors, European Union institutions (current US$)"
"Net bilateral aid flows from DAC donors, Finland (current US$)",DC.DAC.FINL.CD,"DC.DAC.FINL.CD - Net bilateral aid flows from DAC donors, Finland (current US$)"
"Net bilateral aid flows from DAC donors, France (current US$)",DC.DAC.FRAL.CD,"DC.DAC.FRAL.CD - Net bilateral aid flows from DAC donors, France (current US$)"
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,"DC.DAC.DEUL.CD - Net bilateral aid flows from DAC donors, Germany (current US$)"
"Net bilateral aid flows from DAC donors, Greece (current US$)",DC.DAC.GRCL.CD,"DC.DAC.GRCL.CD - Net bilateral aid flows from DAC donors, Greece (current US$)"
"Net bilateral aid flows from DAC donors, Hungary (current US$)",DC.DAC.HUNL.CD,"DC.DAC.HUNL.CD - Net bilateral aid flows from DAC donors, Hungary (current US$)"
"Net bilateral aid flows from DAC donors, Iceland (current US$)",DC.DAC.ISLL.CD,"DC.DAC.ISLL.CD - Net bilateral aid flows from DAC donors, Iceland (current US$)"
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,"DC.DAC.IRLL.CD - Net bilateral aid flows from DAC donors, Ireland (current US$)"
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,"DC.DAC.ITAL.CD - Net bilateral aid flows from DAC donors, Italy (current US$)"
"Net bilateral aid flows from DAC donors, Japan (current US$)",DC.DAC.JPNL.CD,"DC.DAC.JPNL.CD - Net bilateral aid flows from DAC donors, Japan (current US$)"
"Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)",DC.DAC.KORL.CD,"DC.DAC.KORL.CD - Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)"
"Net bilateral aid flows from DAC donors, Lithuania (current US$)",DC.DAC.LTUL.CD,"DC.DAC.LTUL.CD - Net bilateral aid flows from DAC donors, Lithuania (current US$)"
"Net bilateral aid flows from DAC donors, Luxembourg (current US$)",DC.DAC.LUXL.CD,"DC.DAC.LUXL.CD - Net bilateral aid flows from DAC donors, Luxembourg (current US$)"
"Net bilateral aid flows from DAC donors, Netherlands (current US$)",DC.DAC.NLDL.CD,"DC.DAC.NLDL.CD - Net bilateral aid flows from DAC donors, Netherlands (current US$)"
"Net bilateral aid flows from DAC donors, New Zealand (current US$)",DC.DAC.NZLL.CD,"DC.DAC.NZLL.CD - Net bilateral aid flows from DAC donors, New Zealand (current US$)"
"Net bilateral aid flows from DAC donors, Norway (current US$)",DC.DAC.NORL.CD,"DC.DAC.NORL.CD - Net bilateral aid flows from DAC donors, Norway (current US$)"
"Net bilateral aid flows from DAC donors, Poland (current US$)",DC.DAC.POLL.CD,"DC.DAC.POLL.CD - Net bilateral aid flows from DAC donors, Poland (current US$)"
"Net bilateral aid flows from DAC donors, Portugal (current US$)",DC.DAC.PRTL.CD,"DC.DAC.PRTL.CD - Net bilateral aid flows from DAC donors, Portugal (current US$)"
"Net bilateral aid flows from DAC donors, Slovak Republic (current US$)",DC.DAC.SVKL.CD,"DC.DAC.SVKL.CD - Net bilateral aid flows from DAC donors, Slovak Republic (current US$)"
"Net bilateral aid flows from DAC donors, Slovenia (current US$)",DC.DAC.SVNL.CD,"DC.DAC.SVNL.CD - Net bilateral aid flows from DAC donors, Slovenia (current US$)"
"Net bilateral aid flows from DAC donors, Spain (current US$)",DC.DAC.ESPL.CD,"DC.DAC.ESPL.CD - Net bilateral aid flows from DAC donors, Spain (current US$)"
"Net bilateral aid flows from DAC donors, Sweden (current US$)",DC.DAC.SWEL.CD,"DC.DAC.SWEL.CD - Net bilateral aid flows from DAC donors, Sweden (current US$)"
"Net bilateral aid flows from DAC donors, Switzerland (current US$)",DC.DAC.CHEL.CD,"DC.DAC.CHEL.CD - Net bilateral aid flows from DAC donors, Switzerland (current US$)"
"Net bilateral aid flows from DAC donors, Total (current US$)",DC.DAC.TOTL.CD,"DC.DAC.TOTL.CD - Net bilateral aid flows from DAC donors, Total (current US$)"
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",DC.DAC.GBRL.CD,"DC.DAC.GBRL.CD - Net bilateral aid flows from DAC donors, United Kingdom (current US$)"
"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,"DC.DAC.USAL.CD - Net bilateral aid flows from DAC donors, United States (current US$)"
"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD,"BN.TRF.KOGT.CD - Net capital account (BoP, current US$)"
Net domestic credit (current LCU),FM.AST.DOMS.CN,FM.AST.DOMS.CN - Net domestic credit (current LCU)
"Net errors and omissions (BoP, current US$)",BN.KAC.EOMS.CD,"BN.KAC.EOMS.CD - Net errors and omissions (BoP, current US$)"
"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD,"BN.FIN.TOTL.CD - Net financial account (BoP, current US$)"
"Net financial flows, bilateral (NFL, current US$)",DT.NFL.BLAT.CD,"DT.NFL.BLAT.CD - Net financial flows, bilateral (NFL, current US$)"
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,"DT.NFL.MIBR.CD - Net financial flows, IBRD (NFL, current US$)"
"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,"DT.NFL.MIDA.CD - Net financial flows, IDA (NFL, current US$)"
"Net financial flows, IMF concessional (NFL, current US$)",DT.NFL.IMFC.CD,"DT.NFL.IMFC.CD - Net financial flows, IMF concessional (NFL, current US$)"
"Net financial flows, IMF nonconcessional (NFL, current US$)",DT.NFL.IMFN.CD,"DT.NFL.IMFN.CD - Net financial flows, IMF nonconcessional (NFL, current US$)"
"Net financial flows, multilateral (NFL, current US$)",DT.NFL.MLAT.CD,"DT.NFL.MLAT.CD - Net financial flows, multilateral (NFL, current US$)"
"Net financial flows, others (NFL, current US$)",DT.NFL.MOTH.CD,"DT.NFL.MOTH.CD - Net financial flows, others (NFL, current US$)"
"Net financial flows, RDB concessional (NFL, current US$)",DT.NFL.RDBC.CD,"DT.NFL.RDBC.CD - Net financial flows, RDB concessional (NFL, current US$)"
"Net financial flows, RDB nonconcessional (NFL, current US$)",DT.NFL.RDBN.CD,"DT.NFL.RDBN.CD - Net financial flows, RDB nonconcessional (NFL, current US$)"
"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)",DT.NFL.DPNG.CD,"DT.NFL.DPNG.CD - Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)"
Net foreign assets (current LCU),FM.AST.NFRG.CN,FM.AST.NFRG.CN - Net foreign assets (current LCU)
"Net incurrence of liabilities, total (% of GDP)",GC.LBL.TOTL.GD.ZS,"GC.LBL.TOTL.GD.ZS - Net incurrence of liabilities, total (% of GDP)"
"Net incurrence of liabilities, total (current LCU)",GC.LBL.TOTL.CN,"GC.LBL.TOTL.CN - Net incurrence of liabilities, total (current LCU)"
Net intake rate in grade 1 (% of official school-age population),SE.PRM.NINT.ZS,SE.PRM.NINT.ZS - Net intake rate in grade 1 (% of official school-age population)
"Net intake rate in grade 1, female (% of official school-age population)",SE.PRM.NINT.FE.ZS,"SE.PRM.NINT.FE.ZS - Net intake rate in grade 1, female (% of official school-age population)"
"Net intake rate in grade 1, male (% of official school-age population)",SE.PRM.NINT.MA.ZS,"SE.PRM.NINT.MA.ZS - Net intake rate in grade 1, male (% of official school-age population)"
Net investment in nonfinancial assets (% of GDP),GC.NFN.TOTL.GD.ZS,GC.NFN.TOTL.GD.ZS - Net investment in nonfinancial assets (% of GDP)
Net investment in nonfinancial assets (current LCU),GC.NFN.TOTL.CN,GC.NFN.TOTL.CN - Net investment in nonfinancial assets (current LCU)
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,GC.NLD.TOTL.GD.ZS - Net lending (+) / net borrowing (-) (% of GDP)
Net lending (+) / net borrowing (-) (current LCU),GC.NLD.TOTL.CN,GC.NLD.TOTL.CN - Net lending (+) / net borrowing (-) (current LCU)
Net migration,SM.POP.NETM,SM.POP.NETM - Net migration
Net ODA provided to the least developed countries (% of GNI),DC.ODA.TLDC.GN.ZS,DC.ODA.TLDC.GN.ZS - Net ODA provided to the least developed countries (% of GNI)
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,"DC.ODA.TLDC.CD - Net ODA provided, to the least developed countries (current US$)"
"Net ODA provided, total (% of GNI)",DC.ODA.TOTL.GN.ZS,"DC.ODA.TOTL.GN.ZS - Net ODA provided, total (% of GNI)"
"Net ODA provided, total (constant 2021 US$)",DC.ODA.TOTL.KD,"DC.ODA.TOTL.KD - Net ODA provided, total (constant 2021 US$)"
"Net ODA provided, total (current US$)",DC.ODA.TOTL.CD,"DC.ODA.TOTL.CD - Net ODA provided, total (current US$)"
Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,DT.ODA.ODAT.XP.ZS - Net ODA received (% of central government expense)
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,DT.ODA.ODAT.GN.ZS - Net ODA received (% of GNI)
Net ODA received (% of gross capital formation),DT.ODA.ODAT.GI.ZS,DT.ODA.ODAT.GI.ZS - Net ODA received (% of gross capital formation)
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,"DT.ODA.ODAT.MP.ZS - Net ODA received (% of imports of goods, services and primary income)"
Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,DT.ODA.ODAT.PC.ZS - Net ODA received per capita (current US$)
Net official aid received (constant 2021 US$),DT.ODA.OATL.KD,DT.ODA.OATL.KD - Net official aid received (constant 2021 US$)
Net official aid received (current US$),DT.ODA.OATL.CD,DT.ODA.OATL.CD - Net official aid received (current US$)
Net official development assistance and official aid received (constant 2021 US$),DT.ODA.ALLD.KD,DT.ODA.ALLD.KD - Net official development assistance and official aid received (constant 2021 US$)
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,DT.ODA.ALLD.CD - Net official development assistance and official aid received (current US$)
Net official development assistance received (constant 2021 US$),DT.ODA.ODAT.KD,DT.ODA.ODAT.KD - Net official development assistance received (constant 2021 US$)
Net official development assistance received (current US$),DT.ODA.ODAT.CD,DT.ODA.ODAT.CD - Net official development assistance received (current US$)
"Net official flows from UN agencies, CERF (current US$)",DT.NFL.CERF.CD,"DT.NFL.CERF.CD - Net official flows from UN agencies, CERF (current US$)"
"Net official flows from UN agencies, FAO (current US$)",DT.NFL.FAOG.CD,"DT.NFL.FAOG.CD - Net official flows from UN agencies, FAO (current US$)"
"Net official flows from UN agencies, IAEA (current US$)",DT.NFL.IAEA.CD,"DT.NFL.IAEA.CD - Net official flows from UN agencies, IAEA (current US$)"
"Net official flows from UN agencies, IFAD (current US$)",DT.NFL.IFAD.CD,"DT.NFL.IFAD.CD - Net official flows from UN agencies, IFAD (current US$)"
"Net official flows from UN agencies, ILO (current US$)",DT.NFL.ILOG.CD,"DT.NFL.ILOG.CD - Net official flows from UN agencies, ILO (current US$)"
"Net official flows from UN agencies, SDGFUND (current US$)",DT.NFL.SDGF.CD,"DT.NFL.SDGF.CD - Net official flows from UN agencies, SDGFUND (current US$)"
"Net official flows from UN agencies, SPRP (current US$)",DT.NFL.SPRP.CD,"DT.NFL.SPRP.CD - Net official flows from UN agencies, SPRP (current US$)"
"Net official flows from UN agencies, UNAIDS (current US$)",DT.NFL.UNAI.CD,"DT.NFL.UNAI.CD - Net official flows from UN agencies, UNAIDS (current US$)"
"Net official flows from UN agencies, UNCDF (current US$)",DT.NFL.UNCD.CD,"DT.NFL.UNCD.CD - Net official flows from UN agencies, UNCDF (current US$)"
"Net official flows from UN agencies, UNCOVID (current US$)",DT.NFL.UNCV.CD,"DT.NFL.UNCV.CD - Net official flows from UN agencies, UNCOVID (current US$)"
"Net official flows from UN agencies, UNCTAD (current US$)",DT.NFL.UNCTAD.CD,"DT.NFL.UNCTAD.CD - Net official flows from UN agencies, UNCTAD (current US$)"
"Net official flows from UN agencies, UNDP (current US$)",DT.NFL.UNDP.CD,"DT.NFL.UNDP.CD - Net official flows from UN agencies, UNDP (current US$)"
"Net official flows from UN agencies, UNECE (current US$)",DT.NFL.UNEC.CD,"DT.NFL.UNEC.CD - Net official flows from UN agencies, UNECE (current US$)"
"Net official flows from UN agencies, UNEP (current US$)",DT.NFL.UNEP.CD,"DT.NFL.UNEP.CD - Net official flows from UN agencies, UNEP (current US$)"
"Net official flows from UN agencies, UNFPA (current US$)",DT.NFL.UNFP.CD,"DT.NFL.UNFP.CD - Net official flows from UN agencies, UNFPA (current US$)"
"Net official flows from UN agencies, UNHCR (current US$)",DT.NFL.UNCR.CD,"DT.NFL.UNCR.CD - Net official flows from UN agencies, UNHCR (current US$)"
"Net official flows from UN agencies, UNICEF (current US$)",DT.NFL.UNCF.CD,"DT.NFL.UNCF.CD - Net official flows from UN agencies, UNICEF (current US$)"
"Net official flows from UN agencies, UNIDIR (current US$)",DT.NFL.UNID.CD,"DT.NFL.UNID.CD - Net official flows from UN agencies, UNIDIR (current US$)"
"Net official flows from UN agencies, UNIDO (current US$)",DT.NFL.UNIDO.CD,"DT.NFL.UNIDO.CD - Net official flows from UN agencies, UNIDO (current US$)"
"Net official flows from UN agencies, UNPBF (current US$)",DT.NFL.UNPB.CD,"DT.NFL.UNPB.CD - Net official flows from UN agencies, UNPBF (current US$)"
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,"DT.NFL.UNRW.CD - Net official flows from UN agencies, UNRWA (current US$)"
"Net official flows from UN agencies, UNTA (current US$)",DT.NFL.UNTA.CD,"DT.NFL.UNTA.CD - Net official flows from UN agencies, UNTA (current US$)"
"Net official flows from UN agencies, UNWOMEN (current US$)",DT.NFL.UNWN.CD,"DT.NFL.UNWN.CD - Net official flows from UN agencies, UNWOMEN (current US$)"
"Net official flows from UN agencies, UNWTO (current US$)",DT.NFL.UNWT.CD,"DT.NFL.UNWT.CD - Net official flows from UN agencies, UNWTO (current US$)"
"Net official flows from UN agencies, WFP (current US$)",DT.NFL.WFPG.CD,"DT.NFL.WFPG.CD - Net official flows from UN agencies, WFP (current US$)"
"Net official flows from UN agencies, WHO (current US$)",DT.NFL.WHOL.CD,"DT.NFL.WHOL.CD - Net official flows from UN agencies, WHO (current US$)"
"Net official flows from UN agencies, WTO-ITC (current US$)",DT.NFL.WITC.CD,"DT.NFL.WITC.CD - Net official flows from UN agencies, WTO-ITC (current US$)"
"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,"BN.GSR.FCTY.CD - Net primary income (BoP, current US$)"
Net primary income (Net income from abroad) (constant LCU),NY.GSR.NFCY.KN,NY.GSR.NFCY.KN - Net primary income (Net income from abroad) (constant LCU)
Net primary income (Net income from abroad) (current LCU),NY.GSR.NFCY.CN,NY.GSR.NFCY.CN - Net primary income (Net income from abroad) (current LCU)
Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,NY.GSR.NFCY.CD - Net primary income (Net income from abroad) (current US$)
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,"BN.TRF.CURR.CD - Net secondary income (BoP, current US$)"
Net secondary income (Net current transfers from abroad) (constant LCU),NY.TRF.NCTR.KN,NY.TRF.NCTR.KN - Net secondary income (Net current transfers from abroad) (constant LCU)
Net secondary income (Net current transfers from abroad) (current LCU),NY.TRF.NCTR.CN,NY.TRF.NCTR.CN - Net secondary income (Net current transfers from abroad) (current LCU)
Net secondary income (Net current transfers from abroad) (current US$),NY.TRF.NCTR.CD,NY.TRF.NCTR.CD - Net secondary income (Net current transfers from abroad) (current US$)
"Net trade in goods (BoP, current US$)",BN.GSR.MRCH.CD,"BN.GSR.MRCH.CD - Net trade in goods (BoP, current US$)"
"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,"BN.GSR.GNFS.CD - Net trade in goods and services (BoP, current US$)"
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,"IC.BUS.NDNS.ZS - New business density (new registrations per 1,000 people ages 15-64)"
New businesses registered (number),IC.BUS.NREG,IC.BUS.NREG - New businesses registered (number)
Newborns protected against tetanus (%),SH.VAC.TTNS.ZS,SH.VAC.TTNS.ZS - Newborns protected against tetanus (%)
Nitrous oxide (N2O) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.N2O.ZG.AR5,EN.GHG.N2O.ZG.AR5 - Nitrous oxide (N2O) emissions (total) excluding LULUCF (% change from 1990)
Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.N2O.MT.CE.AR5,EN.GHG.N2O.MT.CE.AR5 - Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e)
Nitrous oxide (N2O) emissions from Agriculture (Mt CO2e),EN.GHG.N2O.AG.MT.CE.AR5,EN.GHG.N2O.AG.MT.CE.AR5 - Nitrous oxide (N2O) emissions from Agriculture (Mt CO2e)
Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e),EN.GHG.N2O.BU.MT.CE.AR5,EN.GHG.N2O.BU.MT.CE.AR5 - Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e)
Nitrous oxide (N2O) emissions from Fugitive Emissions (Energy) (Mt CO2e),EN.GHG.N2O.FE.MT.CE.AR5,EN.GHG.N2O.FE.MT.CE.AR5 - Nitrous oxide (N2O) emissions from Fugitive Emissions (Energy) (Mt CO2e)
Nitrous oxide (N2O) emissions from Industrial Combustion (Energy) (Mt CO2e),EN.GHG.N2O.IC.MT.CE.AR5,EN.GHG.N2O.IC.MT.CE.AR5 - Nitrous oxide (N2O) emissions from Industrial Combustion (Energy) (Mt CO2e)
Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),EN.GHG.N2O.IP.MT.CE.AR5,EN.GHG.N2O.IP.MT.CE.AR5 - Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e)
Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e),EN.GHG.N2O.PI.MT.CE.AR5,EN.GHG.N2O.PI.MT.CE.AR5 - Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e)
Nitrous oxide (N2O) emissions from Transport (Energy) (Mt CO2e),EN.GHG.N2O.TR.MT.CE.AR5,EN.GHG.N2O.TR.MT.CE.AR5 - Nitrous oxide (N2O) emissions from Transport (Energy) (Mt CO2e)
Nitrous oxide (N2O) emissions from Waste (Mt CO2e),EN.GHG.N2O.WA.MT.CE.AR5,EN.GHG.N2O.WA.MT.CE.AR5 - Nitrous oxide (N2O) emissions from Waste (Mt CO2e)
Number of deaths ages 10-14 years,SH.DTH.1014,SH.DTH.1014 - Number of deaths ages 10-14 years
Number of deaths ages 15-19 years,SH.DTH.1519,SH.DTH.1519 - Number of deaths ages 15-19 years
Number of deaths ages 20-24 years,SH.DTH.2024,SH.DTH.2024 - Number of deaths ages 20-24 years
Number of deaths ages 5-9 years,SH.DTH.0509,SH.DTH.0509 - Number of deaths ages 5-9 years
Number of infant deaths,SH.DTH.IMRT,SH.DTH.IMRT - Number of infant deaths
Number of maternal deaths,SH.MMR.DTHS,SH.MMR.DTHS - Number of maternal deaths
Number of neonatal deaths,SH.DTH.NMRT,SH.DTH.NMRT - Number of neonatal deaths
"Number of surgical procedures (per 100,000 population)",SH.SGR.PROC.P5,"SH.SGR.PROC.P5 - Number of surgical procedures (per 100,000 population)"
