Indicator Name,Indicator Code,Category,Potential_Categories,Enhanced_Category
Male primary school age children out-of-school (%),SE.LPV.PRIM.SD.MA,Education,"['Education', 'Demographics']",Education
Male pupils below minimum reading proficiency at end of primary (%). Low GAML threshold,SE.LPV.PRIM.LD.MA,Education,['Education'],Education
"Mammal species, threatened",EN.MAM.THRD.NO,Natural Resources,['Natural Resources'],Natural Resources
Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN,Economic,['Economic'],Economic
Manufactures imports (% of merchandise imports),TM.VAL.MANF.ZS.UN,Economic,['Economic'],Economic
"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,Economic,"['Economic', 'Manufacturing']",Manufacturing
"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,Manufacturing,['Manufacturing'],Manufacturing
"Manufacturing, value added (constant 2015 US$)",NV.IND.MANF.KD,Manufacturing,['Manufacturing'],Manufacturing
"Manufacturing, value added (constant LCU)",NV.IND.MANF.KN,Manufacturing,['Manufacturing'],Manufacturing
"Manufacturing, value added (current LCU)",NV.IND.MANF.CN,Manufacturing,['Manufacturing'],Manufacturing
"Manufacturing, value added (current US$)",NV.IND.MANF.CD,Manufacturing,['Manufacturing'],Manufacturing
Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,Infrastructure,"['Infrastructure', 'Natural Resources']",Infrastructure
Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,Economic,['Economic'],Economic
Market capitalization of listed domestic companies (current US$),CM.MKT.LCAP.CD,Economic,['Economic'],Economic
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Healthcare,"['Healthcare', 'Demographics', 'Gender']",Healthcare
"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,Healthcare,"['Healthcare', 'Demographics', 'Gender']",Healthcare
Medium and high-tech exports (% manufactured exports),TX.MNF.TECH.ZS.UN,Economic,"['Economic', 'Technology', 'Manufacturing']",Economic
Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,Technology,"['Technology', 'Manufacturing']",Manufacturing
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Economic,['Economic'],Economic
Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,Economic,['Economic'],Economic
"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",TX.VAL.MRCH.RS.ZS,Economic,['Economic'],Economic
Merchandise exports to economies in the Arab World (% of total merchandise exports),TX.VAL.MRCH.AL.ZS,Economic,['Economic'],Economic
Merchandise exports to high-income economies (% of total merchandise exports),TX.VAL.MRCH.HI.ZS,Economic,['Economic'],Economic
Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),TX.VAL.MRCH.R1.ZS,Economic,['Economic'],Economic
Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),TX.VAL.MRCH.R2.ZS,Economic,['Economic'],Economic
Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),TX.VAL.MRCH.R3.ZS,Economic,['Economic'],Economic
Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),TX.VAL.MRCH.R4.ZS,Economic,['Economic'],Economic
Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),TX.VAL.MRCH.R5.ZS,Economic,['Economic'],Economic
Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),TX.VAL.MRCH.R6.ZS,Economic,['Economic'],Economic
Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),TX.VAL.MRCH.OR.ZS,Economic,['Economic'],Economic
Merchandise exports to low- and middle-income economies within region (% of total merchandise exports),TX.VAL.MRCH.WR.ZS,Economic,['Economic'],Economic
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,Economic,['Economic'],Economic
Merchandise imports by the reporting economy (current US$),TM.VAL.MRCH.WL.CD,Economic,['Economic'],Economic
"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",TM.VAL.MRCH.RS.ZS,Economic,['Economic'],Economic
Merchandise imports from economies in the Arab World (% of total merchandise imports),TM.VAL.MRCH.AL.ZS,Economic,['Economic'],Economic
Merchandise imports from high-income economies (% of total merchandise imports),TM.VAL.MRCH.HI.ZS,Economic,['Economic'],Economic
Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports),TM.VAL.MRCH.R1.ZS,Economic,['Economic'],Economic
Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports),TM.VAL.MRCH.R2.ZS,Economic,['Economic'],Economic
Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports),TM.VAL.MRCH.R3.ZS,Economic,['Economic'],Economic
Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports),TM.VAL.MRCH.R4.ZS,Economic,['Economic'],Economic
Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports),TM.VAL.MRCH.R5.ZS,Economic,['Economic'],Economic
Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports),TM.VAL.MRCH.R6.ZS,Economic,['Economic'],Economic
Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports),TM.VAL.MRCH.OR.ZS,Economic,['Economic'],Economic
Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),TM.VAL.MRCH.WR.ZS,Economic,['Economic'],Economic
Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,Economic,['Economic'],Economic
Methane (CH4) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CH4.ZG.AR5,Climate,['Climate'],Climate
Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CH4.MT.CE.AR5,Climate,['Climate'],Climate
Methane (CH4) emissions from Agriculture (Mt CO2e),EN.GHG.CH4.AG.MT.CE.AR5,Climate,"['Climate', 'Agriculture']",Climate
Methane (CH4) emissions from Building (Energy) (Mt CO2e),EN.GHG.CH4.BU.MT.CE.AR5,Climate,['Climate'],Climate
Methane (CH4) emissions from Fugitive Emissions (Energy) (Mt CO2e),EN.GHG.CH4.FE.MT.CE.AR5,Climate,['Climate'],Climate
Methane (CH4) emissions from Industrial Combustion (Energy) (Mt CO2e),EN.GHG.CH4.IC.MT.CE.AR5,Climate,['Climate'],Climate
Methane (CH4) emissions from Industrial Processes (Mt CO2e),EN.GHG.CH4.IP.MT.CE.AR5,Climate,['Climate'],Climate
Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e),EN.GHG.CH4.PI.MT.CE.AR5,Climate,"['Climate', 'Infrastructure']",Climate
Methane (CH4) emissions from Transport (Energy) (Mt CO2e),EN.GHG.CH4.TR.MT.CE.AR5,Climate,"['Climate', 'Infrastructure']",Climate
Methane (CH4) emissions from Waste (Mt CO2e),EN.GHG.CH4.WA.MT.CE.AR5,Climate,['Climate'],Climate
Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Economic,"['Economic', 'Military']",Economic
Military expenditure (% of general government expenditure),MS.MIL.XPND.ZS,Economic,"['Economic', 'Military', 'Governance']",Economic
Military expenditure (current LCU),MS.MIL.XPND.CN,Economic,"['Economic', 'Military']",Economic
Military expenditure (current USD),MS.MIL.XPND.CD,Economic,"['Economic', 'Military']",Economic
Mineral rents (% of GDP),NY.GDP.MINR.RT.ZS,Economic,"['Economic', 'Natural Resources']",Economic
Mobile cellular subscriptions,IT.CEL.SETS,Infrastructure,"['Infrastructure', 'Technology']",Infrastructure
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Infrastructure,"['Infrastructure', 'Technology']",Infrastructure
Monetary Sector credit to private sector (% GDP),FM.AST.PRVT.GD.ZS,Economic,"['Economic', 'Financial Services']",Economic
"Mortality caused by road traffic injury (per 100,000 population)",SH.STA.TRAF.P5,Healthcare,"['Healthcare', 'Infrastructure', 'Demographics']",Healthcare
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",SH.DYN.NCOM.ZS,Healthcare,"['Healthcare', 'Demographics']",Healthcare
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)",SH.DYN.NCOM.FE.ZS,Healthcare,"['Healthcare', 'Demographics', 'Gender']",Healthcare
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)",SH.DYN.NCOM.MA.ZS,Healthcare,"['Healthcare', 'Demographics']",Healthcare
"Mortality rate attributed to household and ambient air pollution, age-standardized (per 100,000 population)",SH.STA.AIRP.P5,Healthcare,"['Healthcare', 'Climate', 'Demographics']",Healthcare
"Mortality rate attributed to household and ambient air pollution, age-standardized, female (per 100,000 female population)",SH.STA.AIRP.FE.P5,Healthcare,"['Healthcare', 'Climate', 'Demographics', 'Gender']",Healthcare
"Mortality rate attributed to household and ambient air pollution, age-standardized, male (per 100,000 male population)",SH.STA.AIRP.MA.P5,Healthcare,"['Healthcare', 'Climate', 'Demographics']",Healthcare
"Mortality rate attributed to unintentional poisoning (per 100,000 population)",SH.STA.POIS.P5,Healthcare,"['Healthcare', 'Demographics']",Healthcare
"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)",SH.STA.POIS.P5.FE,Healthcare,"['Healthcare', 'Demographics', 'Gender']",Healthcare
"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)",SH.STA.POIS.P5.MA,Healthcare,"['Healthcare', 'Demographics']",Healthcare
"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",SH.STA.WASH.P5,Healthcare,"['Healthcare', 'Infrastructure', 'Demographics']",Healthcare
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Healthcare,"['Healthcare', 'Demographics', 'Gender']",Healthcare
"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,Healthcare,"['Healthcare', 'Demographics']",Healthcare
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Healthcare,"['Healthcare', 'Demographics']",Healthcare
"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,Healthcare,"['Healthcare', 'Demographics', 'Gender']",Healthcare
"Mortality rate, infant, male (per 1,000 live births)",SP.DYN.IMRT.MA.IN,Healthcare,"['Healthcare', 'Demographics']",Healthcare
"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT,Healthcare,"['Healthcare', 'Demographics']",Healthcare
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Healthcare,"['Healthcare', 'Demographics']",Healthcare
"Mortality rate, under-5, female (per 1,000 live births)",SH.DYN.MORT.FE,Healthcare,"['Healthcare', 'Demographics', 'Gender']",Healthcare
"Mortality rate, under-5, male (per 1,000 live births)",SH.DYN.MORT.MA,Healthcare,"['Healthcare', 'Demographics']",Healthcare
Multidimensional poverty headcount ratio (UNDP) (% of population),SI.POV.MPUN,Poverty,"['Poverty', 'Demographics']",Poverty
Multidimensional poverty headcount ratio (World Bank) (% of population),SI.POV.MPWB,Economic,"['Economic', 'Poverty', 'Demographics']",Poverty
Multilateral debt service (% of public and publicly guaranteed debt service),DT.TDS.MLAT.PG.ZS,Economic,['Economic'],Economic
"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,Economic,['Economic'],Economic
Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,Economic,['Economic'],Economic
Net acquisition of financial assets (% of GDP),GC.AST.TOTL.GD.ZS,Economic,['Economic'],Economic
Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,Economic,['Economic'],Economic
Net barter terms of trade index (2015 = 100),TT.PRI.MRCH.XD.WD,Economic,['Economic'],Economic
"Net bilateral aid flows from DAC donors, Australia (current US$)",DC.DAC.AUSL.CD,Other,[],Other
"Net bilateral aid flows from DAC donors, Austria (current US$)",DC.DAC.AUTL.CD,Other,[],Other
"Net bilateral aid flows from DAC donors, Belgium (current US$)",DC.DAC.BELL.CD,Other,[],Other
"Net bilateral aid flows from DAC donors, Canada (current US$)",DC.DAC.CANL.CD,Other,[],Other
"Net bilateral aid flows from DAC donors, Czechia (current US$)",DC.DAC.CZEL.CD,Other,[],Other
"Net bilateral aid flows from DAC donors, Denmark (current US$)",DC.DAC.DNKL.CD,Other,[],Other
"Net bilateral aid flows from DAC donors, Estonia (current US$)",DC.DAC.ESTL.CD,Other,[],Other
"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",DC.DAC.CECL.CD,Governance,['Governance'],Governance
"Net bilateral aid flows from DAC donors, Finland (current US$)",DC.DAC.FINL.CD,Agriculture,['Agriculture'],Agriculture
"Net bilateral aid flows from DAC donors, France (current US$)",DC.DAC.FRAL.CD,Other,[],Other
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,Other,[],Other
"Net bilateral aid flows from DAC donors, Greece (current US$)",DC.DAC.GRCL.CD,Other,[],Other
"Net bilateral aid flows from DAC donors, Hungary (current US$)",DC.DAC.HUNL.CD,Other,[],Other
"Net bilateral aid flows from DAC donors, Iceland (current US$)",DC.DAC.ISLL.CD,Agriculture,['Agriculture'],Agriculture
"Net bilateral aid flows from DAC donors, Ireland (current US$)",DC.DAC.IRLL.CD,Agriculture,['Agriculture'],Agriculture
"Net bilateral aid flows from DAC donors, Italy (current US$)",DC.DAC.ITAL.CD,Other,[],Other
"Net bilateral aid flows from DAC donors, Japan (current US$)",DC.DAC.JPNL.CD,Other,[],Other
"Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)",DC.DAC.KORL.CD,Other,[],Other
"Net bilateral aid flows from DAC donors, Lithuania (current US$)",DC.DAC.LTUL.CD,Other,[],Other
"Net bilateral aid flows from DAC donors, Luxembourg (current US$)",DC.DAC.LUXL.CD,Other,[],Other
"Net bilateral aid flows from DAC donors, Netherlands (current US$)",DC.DAC.NLDL.CD,Agriculture,['Agriculture'],Agriculture
"Net bilateral aid flows from DAC donors, New Zealand (current US$)",DC.DAC.NZLL.CD,Agriculture,['Agriculture'],Agriculture
"Net bilateral aid flows from DAC donors, Norway (current US$)",DC.DAC.NORL.CD,Other,[],Other
"Net bilateral aid flows from DAC donors, Poland (current US$)",DC.DAC.POLL.CD,Agriculture,['Agriculture'],Agriculture
"Net bilateral aid flows from DAC donors, Portugal (current US$)",DC.DAC.PRTL.CD,Other,[],Other
"Net bilateral aid flows from DAC donors, Slovak Republic (current US$)",DC.DAC.SVKL.CD,Other,[],Other
"Net bilateral aid flows from DAC donors, Slovenia (current US$)",DC.DAC.SVNL.CD,Other,[],Other
"Net bilateral aid flows from DAC donors, Spain (current US$)",DC.DAC.ESPL.CD,Other,[],Other
"Net bilateral aid flows from DAC donors, Sweden (current US$)",DC.DAC.SWEL.CD,Other,[],Other
"Net bilateral aid flows from DAC donors, Switzerland (current US$)",DC.DAC.CHEL.CD,Agriculture,['Agriculture'],Agriculture
"Net bilateral aid flows from DAC donors, Total (current US$)",DC.DAC.TOTL.CD,Other,[],Other
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",DC.DAC.GBRL.CD,Other,[],Other
"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD,Other,[],Other
"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD,Economic,"['Economic', 'Financial Services']",Financial Services
Net domestic credit (current LCU),FM.AST.DOMS.CN,Economic,"['Economic', 'Financial Services']",Economic
"Net errors and omissions (BoP, current US$)",BN.KAC.EOMS.CD,Financial Services,['Financial Services'],Financial Services
"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD,Economic,"['Economic', 'Financial Services']",Financial Services
"Net financial flows, bilateral (NFL, current US$)",DT.NFL.BLAT.CD,Economic,['Economic'],Economic
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,Economic,['Economic'],Economic
"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,Economic,['Economic'],Economic
"Net financial flows, IMF concessional (NFL, current US$)",DT.NFL.IMFC.CD,Economic,['Economic'],Economic
"Net financial flows, IMF nonconcessional (NFL, current US$)",DT.NFL.IMFN.CD,Economic,['Economic'],Economic
"Net financial flows, multilateral (NFL, current US$)",DT.NFL.MLAT.CD,Economic,['Economic'],Economic
"Net financial flows, others (NFL, current US$)",DT.NFL.MOTH.CD,Economic,['Economic'],Economic
"Net financial flows, RDB concessional (NFL, current US$)",DT.NFL.RDBC.CD,Economic,['Economic'],Economic
"Net financial flows, RDB nonconcessional (NFL, current US$)",DT.NFL.RDBN.CD,Economic,['Economic'],Economic
"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)",DT.NFL.DPNG.CD,Economic,['Economic'],Economic
Net foreign assets (current LCU),FM.AST.NFRG.CN,Economic,['Economic'],Economic
"Net incurrence of liabilities, total (% of GDP)",GC.LBL.TOTL.GD.ZS,Economic,['Economic'],Economic
"Net incurrence of liabilities, total (current LCU)",GC.LBL.TOTL.CN,Economic,['Economic'],Economic
Net intake rate in grade 1 (% of official school-age population),SE.PRM.NINT.ZS,Education,"['Education', 'Demographics']",Education
"Net intake rate in grade 1, female (% of official school-age population)",SE.PRM.NINT.FE.ZS,Education,"['Education', 'Demographics', 'Gender']",Education
"Net intake rate in grade 1, male (% of official school-age population)",SE.PRM.NINT.MA.ZS,Education,"['Education', 'Demographics']",Education
Net investment in nonfinancial assets (% of GDP),GC.NFN.TOTL.GD.ZS,Economic,['Economic'],Economic
Net investment in nonfinancial assets (current LCU),GC.NFN.TOTL.CN,Economic,['Economic'],Economic
Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,Economic,"['Economic', 'Financial Services']",Economic
Net lending (+) / net borrowing (-) (current LCU),GC.NLD.TOTL.CN,Financial Services,['Financial Services'],Financial Services
Net migration,SM.POP.NETM,Demographics,['Demographics'],Demographics
Net ODA provided to the least developed countries (% of GNI),DC.ODA.TLDC.GN.ZS,Economic,['Economic'],Economic
"Net ODA provided, to the least developed countries (current US$)",DC.ODA.TLDC.CD,Economic,['Economic'],Economic
"Net ODA provided, total (% of GNI)",DC.ODA.TOTL.GN.ZS,Economic,['Economic'],Economic
"Net ODA provided, total (constant 2021 US$)",DC.ODA.TOTL.KD,Economic,['Economic'],Economic
"Net ODA provided, total (current US$)",DC.ODA.TOTL.CD,Economic,['Economic'],Economic
Net ODA received (% of central government expense),DT.ODA.ODAT.XP.ZS,Economic,"['Economic', 'Governance']",Economic
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Economic,['Economic'],Economic
Net ODA received (% of gross capital formation),DT.ODA.ODAT.GI.ZS,Economic,['Economic'],Economic
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS,Economic,"['Economic', 'Education']",Economic
Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,Economic,['Economic'],Economic
Net official aid received (constant 2021 US$),DT.ODA.OATL.KD,Financial Services,['Financial Services'],Financial Services
Net official aid received (current US$),DT.ODA.OATL.CD,Financial Services,['Financial Services'],Financial Services
Net official development assistance and official aid received (constant 2021 US$),DT.ODA.ALLD.KD,Financial Services,['Financial Services'],Financial Services
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,Financial Services,['Financial Services'],Financial Services
Net official development assistance received (constant 2021 US$),DT.ODA.ODAT.KD,Financial Services,['Financial Services'],Financial Services
Net official development assistance received (current US$),DT.ODA.ODAT.CD,Financial Services,['Financial Services'],Financial Services
"Net official flows from UN agencies, CERF (current US$)",DT.NFL.CERF.CD,Demographics,['Demographics'],Demographics
"Net official flows from UN agencies, FAO (current US$)",DT.NFL.FAOG.CD,Demographics,['Demographics'],Demographics
"Net official flows from UN agencies, IAEA (current US$)",DT.NFL.IAEA.CD,Demographics,['Demographics'],Demographics
"Net official flows from UN agencies, IFAD (current US$)",DT.NFL.IFAD.CD,Demographics,['Demographics'],Demographics
"Net official flows from UN agencies, ILO (current US$)",DT.NFL.ILOG.CD,Demographics,['Demographics'],Demographics
"Net official flows from UN agencies, SDGFUND (current US$)",DT.NFL.SDGF.CD,Demographics,['Demographics'],Demographics
"Net official flows from UN agencies, SPRP (current US$)",DT.NFL.SPRP.CD,Demographics,['Demographics'],Demographics
"Net official flows from UN agencies, UNAIDS (current US$)",DT.NFL.UNAI.CD,Healthcare,"['Healthcare', 'Demographics']",Healthcare
"Net official flows from UN agencies, UNCDF (current US$)",DT.NFL.UNCD.CD,Demographics,['Demographics'],Demographics
"Net official flows from UN agencies, UNCOVID (current US$)",DT.NFL.UNCV.CD,Demographics,['Demographics'],Demographics
"Net official flows from UN agencies, UNCTAD (current US$)",DT.NFL.UNCTAD.CD,Demographics,['Demographics'],Demographics
"Net official flows from UN agencies, UNDP (current US$)",DT.NFL.UNDP.CD,Demographics,['Demographics'],Demographics
"Net official flows from UN agencies, UNECE (current US$)",DT.NFL.UNEC.CD,Demographics,['Demographics'],Demographics
"Net official flows from UN agencies, UNEP (current US$)",DT.NFL.UNEP.CD,Demographics,['Demographics'],Demographics
"Net official flows from UN agencies, UNFPA (current US$)",DT.NFL.UNFP.CD,Demographics,['Demographics'],Demographics
"Net official flows from UN agencies, UNHCR (current US$)",DT.NFL.UNCR.CD,Demographics,['Demographics'],Demographics
"Net official flows from UN agencies, UNICEF (current US$)",DT.NFL.UNCF.CD,Demographics,['Demographics'],Demographics
"Net official flows from UN agencies, UNIDIR (current US$)",DT.NFL.UNID.CD,Demographics,['Demographics'],Demographics
"Net official flows from UN agencies, UNIDO (current US$)",DT.NFL.UNIDO.CD,Demographics,['Demographics'],Demographics
"Net official flows from UN agencies, UNPBF (current US$)",DT.NFL.UNPB.CD,Demographics,['Demographics'],Demographics
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,Demographics,['Demographics'],Demographics
"Net official flows from UN agencies, UNTA (current US$)",DT.NFL.UNTA.CD,Demographics,['Demographics'],Demographics
"Net official flows from UN agencies, UNWOMEN (current US$)",DT.NFL.UNWN.CD,Demographics,"['Demographics', 'Gender']",Gender
"Net official flows from UN agencies, UNWTO (current US$)",DT.NFL.UNWT.CD,Economic,"['Economic', 'Demographics']",Economic
"Net official flows from UN agencies, WFP (current US$)",DT.NFL.WFPG.CD,Demographics,['Demographics'],Demographics
"Net official flows from UN agencies, WHO (current US$)",DT.NFL.WHOL.CD,Demographics,['Demographics'],Demographics
"Net official flows from UN agencies, WTO-ITC (current US$)",DT.NFL.WITC.CD,Economic,"['Economic', 'Demographics']",Economic
"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,Economic,"['Economic', 'Education', 'Financial Services']",Financial Services
Net primary income (Net income from abroad) (constant LCU),NY.GSR.NFCY.KN,Economic,"['Economic', 'Education', 'Infrastructure']",Economic
Net primary income (Net income from abroad) (current LCU),NY.GSR.NFCY.CN,Economic,"['Economic', 'Education', 'Infrastructure']",Economic
Net primary income (Net income from abroad) (current US$),NY.GSR.NFCY.CD,Economic,"['Economic', 'Education', 'Infrastructure']",Economic
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD,Economic,"['Economic', 'Education', 'Financial Services']",Financial Services
Net secondary income (Net current transfers from abroad) (constant LCU),NY.TRF.NCTR.KN,Economic,"['Economic', 'Education', 'Infrastructure']",Economic
Net secondary income (Net current transfers from abroad) (current LCU),NY.TRF.NCTR.CN,Economic,"['Economic', 'Education', 'Infrastructure']",Economic
Net secondary income (Net current transfers from abroad) (current US$),NY.TRF.NCTR.CD,Economic,"['Economic', 'Education', 'Infrastructure']",Economic
"Net trade in goods (BoP, current US$)",BN.GSR.MRCH.CD,Economic,"['Economic', 'Financial Services']",Financial Services
"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,Economic,"['Economic', 'Financial Services']",Financial Services
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,Economic,"['Economic', 'Demographics']",Economic
New businesses registered (number),IC.BUS.NREG,Economic,['Economic'],Economic
Newborns protected against tetanus (%),SH.VAC.TTNS.ZS,Healthcare,['Healthcare'],Healthcare
Nitrous oxide (N2O) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.N2O.ZG.AR5,Climate,['Climate'],Climate
Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.N2O.MT.CE.AR5,Climate,['Climate'],Climate
Nitrous oxide (N2O) emissions from Agriculture (Mt CO2e),EN.GHG.N2O.AG.MT.CE.AR5,Climate,"['Climate', 'Agriculture']",Climate
Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e),EN.GHG.N2O.BU.MT.CE.AR5,Climate,['Climate'],Climate
Nitrous oxide (N2O) emissions from Fugitive Emissions (Energy) (Mt CO2e),EN.GHG.N2O.FE.MT.CE.AR5,Climate,['Climate'],Climate
Nitrous oxide (N2O) emissions from Industrial Combustion (Energy) (Mt CO2e),EN.GHG.N2O.IC.MT.CE.AR5,Climate,['Climate'],Climate
Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),EN.GHG.N2O.IP.MT.CE.AR5,Climate,['Climate'],Climate
Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e),EN.GHG.N2O.PI.MT.CE.AR5,Climate,"['Climate', 'Infrastructure']",Climate
Nitrous oxide (N2O) emissions from Transport (Energy) (Mt CO2e),EN.GHG.N2O.TR.MT.CE.AR5,Climate,"['Climate', 'Infrastructure']",Climate
Nitrous oxide (N2O) emissions from Waste (Mt CO2e),EN.GHG.N2O.WA.MT.CE.AR5,Climate,['Climate'],Climate
Number of deaths ages 10-14 years,SH.DTH.1014,Healthcare,"['Healthcare', 'Demographics']",Healthcare
Number of deaths ages 15-19 years,SH.DTH.1519,Healthcare,"['Healthcare', 'Demographics']",Healthcare
Number of deaths ages 20-24 years,SH.DTH.2024,Healthcare,"['Healthcare', 'Demographics']",Healthcare
Number of deaths ages 5-9 years,SH.DTH.0509,Healthcare,"['Healthcare', 'Demographics']",Healthcare
Number of infant deaths,SH.DTH.IMRT,Healthcare,"['Healthcare', 'Demographics']",Healthcare
Number of maternal deaths,SH.MMR.DTHS,Healthcare,"['Healthcare', 'Demographics', 'Gender']",Healthcare
Number of neonatal deaths,SH.DTH.NMRT,Healthcare,"['Healthcare', 'Demographics']",Healthcare
"Number of surgical procedures (per 100,000 population)",SH.SGR.PROC.P5,Demographics,['Demographics'],Demographics
Number of under-five deaths,SH.DTH.MORT,Healthcare,"['Healthcare', 'Demographics']",Healthcare
Number of visits or required meetings with tax officials (average for affected firms),IC.TAX.METG,Economic,"['Economic', 'Demographics']",Economic
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Healthcare,['Healthcare'],Healthcare
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Economic,"['Economic', 'Demographics']",Economic
Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,Economic,['Economic'],Economic
Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,Economic,['Economic'],Economic
Ores and metals imports (% of merchandise imports),TM.VAL.MMTL.ZS.UN,Economic,['Economic'],Economic
Other expense (% of expense),GC.XPN.OTHR.ZS,Economic,['Economic'],Economic
Other expense (current LCU),GC.XPN.OTHR.CN,Economic,['Economic'],Economic
Other manufacturing (% of value added in manufacturing),NV.MNF.OTHR.ZS.UN,Manufacturing,['Manufacturing'],Manufacturing
Other taxes (% of revenue),GC.TAX.OTHR.RV.ZS,Economic,['Economic'],Economic
Other taxes (current LCU),GC.TAX.OTHR.CN,Economic,['Economic'],Economic
Other taxes payable by businesses (% of commercial profits),IC.TAX.OTHR.CP.ZS,Economic,['Economic'],Economic
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Economic,"['Economic', 'Healthcare']",Healthcare
