Indicator Code,Indicator Name,Topic,Coarse_Topic
NY.GDP.MKTP.KD.ZG,GDP growth (annual %),Economic Policy & Debt: National accounts: Growth rates,Economy & Finance
NY.GDP.MKTP.KN,GDP (constant LCU),Economic Policy & Debt: National accounts: Local currency at constant prices: Aggregate indicators,Economy & Finance
NY.GDP.MKTP.PP.CD,"GDP, PPP (current international $)",Economic Policy & Debt: Purchasing power parity,Economy & Finance
NY.GDP.MKTP.PP.KD,"GDP, PPP (constant 2021 international $)",Economic Policy & Debt: Purchasing power parity,Economy & Finance
NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP),Environment: Natural resources contribution to GDP,Environment & Climate
NY.GDP.PCAP.CD,GDP per capita (current US$),Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators,Economy & Finance
NY.GDP.PCAP.CN,GDP per capita (current LCU),Economic Policy & Debt: National accounts: Local currency at current prices: Aggregate indicators,Economy & Finance
NY.GDP.PCAP.KD,GDP per capita (constant 2015 US$),Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Aggregate indicators,Economy & Finance
NY.GDP.PCAP.KD.ZG,GDP per capita growth (annual %),Economic Policy & Debt: National accounts: Growth rates,Economy & Finance
NY.GDP.PCAP.KN,GDP per capita (constant LCU),Economic Policy & Debt: National accounts: Local currency at constant prices: Aggregate indicators,Economy & Finance
NY.GDP.PCAP.PP.CD,"GDP per capita, PPP (current international $)",Economic Policy & Debt: Purchasing power parity,Economy & Finance
NY.GDP.PCAP.PP.KD,"GDP per capita, PPP (constant 2021 international $)",Economic Policy & Debt: Purchasing power parity,Economy & Finance
NY.GDP.PETR.RT.ZS,Oil rents (% of GDP),Environment: Natural resources contribution to GDP,Environment & Climate
NY.GDP.TOTL.RT.ZS,Total natural resources rents (% of GDP),Environment: Natural resources contribution to GDP,Environment & Climate
NY.GDS.TOTL.CD,Gross domestic savings (current US$),Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators,Economy & Finance
NY.GDS.TOTL.CN,Gross domestic savings (current LCU),Economic Policy & Debt: National accounts: Local currency at current prices: Aggregate indicators,Economy & Finance
NY.GDS.TOTL.ZS,Gross domestic savings (% of GDP),Economic Policy & Debt: National accounts: Shares of GDP & other,Economy & Finance
NY.GDY.TOTL.KN,Gross domestic income (constant LCU),Economic Policy & Debt: National accounts: Local currency at constant prices: Other items,Economy & Finance
NY.GNP.ATLS.CD,"GNI, Atlas method (current US$)",Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita,Economy & Finance
NY.GNP.MKTP.CD,GNI (current US$),Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators,Economy & Finance
NY.GNP.MKTP.CN,GNI (current LCU),Economic Policy & Debt: National accounts: Local currency at current prices: Aggregate indicators,Economy & Finance
NY.GNP.MKTP.CN.AD,GNI: linked series (current LCU),Economic Policy & Debt: National accounts: Local currency at current prices: Expenditure on GDP,Economy & Finance
NY.GNP.MKTP.KD,GNI (constant 2015 US$),Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Aggregate indicators,Economy & Finance
NY.GNP.MKTP.KD.ZG,GNI growth (annual %),Economic Policy & Debt: National accounts: Growth rates,Economy & Finance
NY.GNP.MKTP.KN,GNI (constant LCU),Economic Policy & Debt: National accounts: Local currency at constant prices: Aggregate indicators,Economy & Finance
NY.GNP.MKTP.PP.CD,"GNI, PPP (current international $)",Economic Policy & Debt: Purchasing power parity,Economy & Finance
NY.GNP.MKTP.PP.KD,"GNI, PPP (constant 2021 international $)",Economic Policy & Debt: Purchasing power parity,Economy & Finance
NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita,Economy & Finance
NY.GNP.PCAP.CN,GNI per capita (current LCU),Economic Policy & Debt: National accounts: Local currency at current prices: Aggregate indicators,Economy & Finance
NY.GNP.PCAP.KD,GNI per capita (constant 2015 US$),Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Aggregate indicators,Economy & Finance
NY.GNP.PCAP.KD.ZG,GNI per capita growth (annual %),Economic Policy & Debt: National accounts: Growth rates,Economy & Finance
NY.GNP.PCAP.KN,GNI per capita (constant LCU),Economic Policy & Debt: National accounts: Local currency at constant prices: Aggregate indicators,Economy & Finance
NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",Economic Policy & Debt: Purchasing power parity,Economy & Finance
NY.GNP.PCAP.PP.KD,"GNI per capita, PPP (constant 2021 international $)",Economic Policy & Debt: Purchasing power parity,Economy & Finance
NY.GNS.ICTR.CD,Gross savings (current US$),Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators,Economy & Finance
NY.GNS.ICTR.CN,Gross savings (current LCU),Economic Policy & Debt: National accounts: Local currency at current prices: Aggregate indicators,Economy & Finance
NY.GNS.ICTR.GN.ZS,Gross savings (% of GNI),Economic Policy & Debt: National accounts: Shares of GDP & other,Economy & Finance
NY.GNS.ICTR.ZS,Gross savings (% of GDP),Economic Policy & Debt: National accounts: Shares of GDP & other,Economy & Finance
NY.GSR.NFCY.CD,Net primary income (Net income from abroad) (current US$),Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators,Economy & Finance
NY.GSR.NFCY.CN,Net primary income (Net income from abroad) (current LCU),Economic Policy & Debt: National accounts: Local currency at current prices: Aggregate indicators,Economy & Finance
NY.GSR.NFCY.KN,Net primary income (Net income from abroad) (constant LCU),Economic Policy & Debt: National accounts: Local currency at constant prices: Aggregate indicators,Economy & Finance
NY.TAX.NIND.CD,Taxes less subsidies on products (current US$),Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators,Economy & Finance
NY.TAX.NIND.CN,Taxes less subsidies on products (current LCU),Economic Policy & Debt: National accounts: Local currency at current prices: Aggregate indicators,Economy & Finance
NY.TAX.NIND.KN,Taxes less subsidies on products (constant LCU),Economic Policy & Debt: National accounts: Local currency at constant prices: Aggregate indicators,Economy & Finance
NY.TRF.NCTR.CD,Net secondary income (Net current transfers from abroad) (current US$),Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators,Economy & Finance
NY.TRF.NCTR.CN,Net secondary income (Net current transfers from abroad) (current LCU),Economic Policy & Debt: National accounts: Local currency at current prices: Aggregate indicators,Economy & Finance
NY.TRF.NCTR.KN,Net secondary income (Net current transfers from abroad) (constant LCU),Economic Policy & Debt: National accounts: Local currency at constant prices: Aggregate indicators,Economy & Finance
NY.TTF.GNFS.KN,Terms of trade adjustment (constant LCU),Economic Policy & Debt: National accounts: Local currency at constant prices: Other items,Economy & Finance
PA.NUS.ATLS,DEC alternative conversion factor (LCU per US$),Financial Sector: Exchange rates & prices,Other
PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",Financial Sector: Exchange rates & prices,Other
PA.NUS.PPP,"PPP conversion factor, GDP (LCU per international $)",Economic Policy & Debt: Purchasing power parity,Economy & Finance
PA.NUS.PPPC.RF,Price level ratio of PPP conversion factor (GDP) to market exchange rate,Economic Policy & Debt: Purchasing power parity,Economy & Finance
PA.NUS.PRVT.PP,"PPP conversion factor, private consumption (LCU per international $)",Economic Policy & Debt: Purchasing power parity,Economy & Finance
per_allsp.adq_pop_tot,Adequacy of social protection and labor programs (% of total welfare of beneficiary households),Social Protection & Labor: Performance,Social Development
per_allsp.ben_q1_tot,Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),Social Protection & Labor: Performance,Social Development
per_allsp.cov_pop_tot,Coverage of social protection and labor programs (% of population),Social Protection & Labor: Performance,Social Development
per_lm_alllm.adq_pop_tot,Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),Social Protection & Labor: Performance,Social Development
per_lm_alllm.ben_q1_tot,Benefit incidence of unemployment benefits and ALMP to poorest quintile (% of total U/ALMP benefits),Social Protection & Labor: Performance,Social Development
per_lm_alllm.cov_pop_tot,Coverage of unemployment benefits and ALMP (% of population),Social Protection & Labor: Performance,Social Development
per_lm_alllm.cov_q1_tot,Coverage of unemployment benefits and ALMP in poorest quintile (% of population),Social Protection & Labor: Performance,Social Development
per_lm_alllm.cov_q2_tot,Coverage of unemployment benefits and ALMP in 2nd quintile (% of population),Social Protection & Labor: Performance,Social Development
per_lm_alllm.cov_q3_tot,Coverage of unemployment benefits and ALMP in 3rd quintile (% of population),Social Protection & Labor: Performance,Social Development
per_lm_alllm.cov_q4_tot,Coverage of unemployment benefits and ALMP in 4th quintile (% of population),Social Protection & Labor: Performance,Social Development
per_lm_alllm.cov_q5_tot,Coverage of unemployment benefits and ALMP in richest quintile (% of population),Social Protection & Labor: Performance,Social Development
per_sa_allsa.adq_pop_tot,Adequacy of social safety net programs (% of total welfare of beneficiary households),Social Protection & Labor: Performance,Social Development
per_sa_allsa.ben_q1_tot,Benefit incidence of social safety net programs to poorest quintile (% of total safety net benefits),Social Protection & Labor: Performance,Social Development
per_sa_allsa.cov_pop_tot,Coverage of social safety net programs (% of population),Social Protection & Labor: Performance,Social Development
per_sa_allsa.cov_q1_tot,Coverage of social safety net programs in poorest quintile (% of population),Social Protection & Labor: Performance,Social Development
per_sa_allsa.cov_q2_tot,Coverage of social safety net programs in 2nd quintile (% of population),Social Protection & Labor: Performance,Social Development
per_sa_allsa.cov_q3_tot,Coverage of social safety net programs in 3rd quintile (% of population),Social Protection & Labor: Performance,Social Development
per_sa_allsa.cov_q4_tot,Coverage of social safety net programs in 4th quintile (% of population),Social Protection & Labor: Performance,Social Development
per_sa_allsa.cov_q5_tot,Coverage of social safety net programs in richest quintile (% of population),Social Protection & Labor: Performance,Social Development
per_si_allsi.adq_pop_tot,Adequacy of social insurance programs (% of total welfare of beneficiary households),Social Protection & Labor: Performance,Social Development
per_si_allsi.ben_q1_tot,Benefit incidence of social insurance programs to poorest quintile (% of total social insurance benefits),Social Protection & Labor: Performance,Social Development
per_si_allsi.cov_pop_tot,Coverage of social insurance programs (% of population),Social Protection & Labor: Performance,Social Development
per_si_allsi.cov_q1_tot,Coverage of social insurance programs in poorest quintile (% of population),Social Protection & Labor: Performance,Social Development
per_si_allsi.cov_q2_tot,Coverage of social insurance programs in 2nd quintile (% of population),Social Protection & Labor: Performance,Social Development
per_si_allsi.cov_q3_tot,Coverage of social insurance programs in 3rd quintile (% of population),Social Protection & Labor: Performance,Social Development
per_si_allsi.cov_q4_tot,Coverage of social insurance programs in 4th quintile (% of population),Social Protection & Labor: Performance,Social Development
per_si_allsi.cov_q5_tot,Coverage of social insurance programs in richest quintile (% of population),Social Protection & Labor: Performance,Social Development
PV.EST,Political Stability and Absence of Violence/Terrorism: Estimate,Public Sector: Policy & institutions,Government & Governance
PV.NO.SRC,Political Stability and Absence of Violence/Terrorism: Number of Sources,Public Sector: Policy & institutions,Government & Governance
PV.PER.RNK,Political Stability and Absence of Violence/Terrorism: Percentile Rank,Public Sector: Policy & institutions,Government & Governance
PV.PER.RNK.LOWER,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval",Public Sector: Policy & institutions,Government & Governance
PV.PER.RNK.UPPER,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval",Public Sector: Policy & institutions,Government & Governance
PV.STD.ERR,Political Stability and Absence of Violence/Terrorism: Standard Error,Public Sector: Policy & institutions,Government & Governance
PX.REX.REER,Real effective exchange rate index (2010 = 100),Financial Sector: Exchange rates & prices,Other
RL.EST,Rule of Law: Estimate,Public Sector: Policy & institutions,Government & Governance
RL.NO.SRC,Rule of Law: Number of Sources,Public Sector: Policy & institutions,Government & Governance
RL.PER.RNK,Rule of Law: Percentile Rank,Public Sector: Policy & institutions,Government & Governance
RL.PER.RNK.LOWER,"Rule of Law: Percentile Rank, Lower Bound of 90% Confidence Interval",Public Sector: Policy & institutions,Government & Governance
RL.PER.RNK.UPPER,"Rule of Law: Percentile Rank, Upper Bound of 90% Confidence Interval",Public Sector: Policy & institutions,Government & Governance
RL.STD.ERR,Rule of Law: Standard Error,Public Sector: Policy & institutions,Government & Governance
RQ.EST,Regulatory Quality: Estimate,Public Sector: Policy & institutions,Government & Governance
RQ.NO.SRC,Regulatory Quality: Number of Sources,Public Sector: Policy & institutions,Government & Governance
RQ.PER.RNK,Regulatory Quality: Percentile Rank,Public Sector: Policy & institutions,Government & Governance
RQ.PER.RNK.LOWER,"Regulatory Quality: Percentile Rank, Lower Bound of 90% Confidence Interval",Public Sector: Policy & institutions,Government & Governance
RQ.PER.RNK.UPPER,"Regulatory Quality: Percentile Rank, Upper Bound of 90% Confidence Interval",Public Sector: Policy & institutions,Government & Governance
RQ.STD.ERR,Regulatory Quality: Standard Error,Public Sector: Policy & institutions,Government & Governance
SE.ADT.1524.LT.FE.ZS,"Literacy rate, youth female (% of females ages 15-24)",Education: Outcomes,Education
SE.ADT.1524.LT.FM.ZS,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",Education: Outcomes,Education
SE.ADT.1524.LT.MA.ZS,"Literacy rate, youth male (% of males ages 15-24)",Education: Outcomes,Education
SE.ADT.1524.LT.ZS,"Literacy rate, youth total (% of people ages 15-24)",Education: Outcomes,Education
SE.ADT.LITR.FE.ZS,"Literacy rate, adult female (% of females ages 15 and above)",Education: Outcomes,Education
SE.ADT.LITR.MA.ZS,"Literacy rate, adult male (% of males ages 15 and above)",Education: Outcomes,Education
SE.ADT.LITR.ZS,"Literacy rate, adult total (% of people ages 15 and above)",Education: Outcomes,Education
SE.COM.DURS,"Compulsory education, duration (years)",Education: Outcomes,Education
SE.ENR.PRIM.FM.ZS,"School enrollment, primary (gross), gender parity index (GPI)",Education: Participation,Education
SE.ENR.PRSC.FM.ZS,"School enrollment, primary and secondary (gross), gender parity index (GPI)",Education: Participation,Education
SE.ENR.SECO.FM.ZS,"School enrollment, secondary (gross), gender parity index (GPI)",Education: Participation,Education
SE.ENR.TERT.FM.ZS,"School enrollment, tertiary (gross), gender parity index (GPI)",Education: Participation,Education
SE.LPV.PRIM,Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%),Education: Outcomes,Education
SE.LPV.PRIM.FE,Learning poverty: Share of Female Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%),Education: Outcomes,Education
SE.LPV.PRIM.LD,Pupils below minimum reading proficiency at end of primary (%). Low GAML threshold,Education: Outcomes,Education
SE.LPV.PRIM.LD.FE,Female pupils below minimum reading proficiency at end of primary (%). Low GAML threshold,Education: Outcomes,Education
SE.LPV.PRIM.LD.MA,Male pupils below minimum reading proficiency at end of primary (%). Low GAML threshold,Education: Outcomes,Education
SE.LPV.PRIM.MA,Learning poverty: Share of Male Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%),Education: Outcomes,Education
SE.LPV.PRIM.SD,Primary school age children out-of-school (%),Education: Outcomes,Education
SE.LPV.PRIM.SD.FE,Female primary school age children out-of-school (%),Education: Outcomes,Education
SE.LPV.PRIM.SD.MA,Male primary school age children out-of-school (%),Education: Outcomes,Education
SE.PRE.DURS,"Preprimary education, duration (years)",Education: Inputs,Education
SE.PRE.ENRL.TC.ZS,"Pupil-teacher ratio, preprimary",Education: Inputs,Education
SE.PRE.ENRR,"School enrollment, preprimary (% gross)",Education: Participation,Education
SE.PRE.ENRR.FE,"School enrollment, preprimary, female (% gross)",Education: Participation,Education
SE.PRE.ENRR.MA,"School enrollment, preprimary, male (% gross)",Education: Participation,Education
SE.PRE.TCAQ.FE.ZS,"Trained teachers in preprimary education, female (% of female teachers)",Education: Inputs,Education
SE.PRE.TCAQ.MA.ZS,"Trained teachers in preprimary education, male (% of male teachers)",Education: Inputs,Education
SE.PRE.TCAQ.ZS,Trained teachers in preprimary education (% of total teachers),Education: Inputs,Education
SE.PRM.AGES,Primary school starting age (years),Education: Inputs,Education
SE.PRM.CMPT.FE.ZS,"Primary completion rate, female (% of relevant age group)",Education: Outcomes,Education
SE.PRM.CMPT.MA.ZS,"Primary completion rate, male (% of relevant age group)",Education: Outcomes,Education
SE.PRM.CMPT.ZS,"Primary completion rate, total (% of relevant age group)",Education: Outcomes,Education
SE.PRM.CUAT.FE.ZS,"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)",Education: Outcomes,Education
SE.PRM.CUAT.MA.ZS,"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)",Education: Outcomes,Education
SE.PRM.CUAT.ZS,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",Education: Outcomes,Education
SE.PRM.DURS,"Primary education, duration (years)",Education: Outcomes,Education
SE.PRM.ENRL,"Primary education, pupils",Education: Participation,Education
SE.PRM.ENRL.FE.ZS,"Primary education, pupils (% female)",Education: Participation,Education
SE.PRM.ENRL.TC.ZS,"Pupil-teacher ratio, primary",Education: Inputs,Education
SE.PRM.ENRR,"School enrollment, primary (% gross)",Education: Participation,Education
SE.PRM.ENRR.FE,"School enrollment, primary, female (% gross)",Education: Participation,Education
SE.PRM.ENRR.MA,"School enrollment, primary, male (% gross)",Education: Participation,Education
SE.PRM.GINT.FE.ZS,"Gross intake ratio in first grade of primary education, female (% of relevant age group)",Education: Efficiency,Education
SE.PRM.GINT.MA.ZS,"Gross intake ratio in first grade of primary education, male (% of relevant age group)",Education: Efficiency,Education
SE.PRM.GINT.ZS,"Gross intake ratio in first grade of primary education, total (% of relevant age group)",Education: Efficiency,Education
SE.PRM.NENR,"School enrollment, primary (% net)",Education: Participation,Education
SE.PRM.NENR.FE,"School enrollment, primary, female (% net)",Education: Participation,Education
SE.PRM.NENR.MA,"School enrollment, primary, male (% net)",Education: Participation,Education
SE.PRM.NINT.FE.ZS,"Net intake rate in grade 1, female (% of official school-age population)",Education: Efficiency,Education
SE.PRM.NINT.MA.ZS,"Net intake rate in grade 1, male (% of official school-age population)",Education: Efficiency,Education
SE.PRM.NINT.ZS,Net intake rate in grade 1 (% of official school-age population),Education: Efficiency,Education
SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",Education: Efficiency,Education
SE.PRM.OENR.MA.ZS,"Over-age students, primary, male (% of male enrollment)",Education: Efficiency,Education
SE.PRM.OENR.ZS,"Over-age students, primary (% of enrollment)",Education: Efficiency,Education
SE.PRM.PRIV.ZS,"School enrollment, primary, private (% of total primary)",Education: Participation,Education
SE.PRM.PRS5.FE.ZS,"Persistence to grade 5, female (% of cohort)",Education: Efficiency,Education
SE.PRM.PRS5.MA.ZS,"Persistence to grade 5, male (% of cohort)",Education: Efficiency,Education
SE.PRM.PRS5.ZS,"Persistence to grade 5, total (% of cohort)",Education: Efficiency,Education
SE.PRM.PRSL.FE.ZS,"Persistence to last grade of primary, female (% of cohort)",Education: Efficiency,Education
SE.PRM.PRSL.MA.ZS,"Persistence to last grade of primary, male (% of cohort)",Education: Efficiency,Education
SE.PRM.PRSL.ZS,"Persistence to last grade of primary, total (% of cohort)",Education: Efficiency,Education
SE.PRM.REPT.FE.ZS,"Repeaters, primary, female (% of female enrollment)",Education: Efficiency,Education
SE.PRM.REPT.MA.ZS,"Repeaters, primary, male (% of male enrollment)",Education: Efficiency,Education
SE.PRM.REPT.ZS,"Repeaters, primary, total (% of total enrollment)",Education: Efficiency,Education
SE.PRM.TCAQ.FE.ZS,"Trained teachers in primary education, female (% of female teachers)",Education: Inputs,Education
SE.PRM.TCAQ.MA.ZS,"Trained teachers in primary education, male (% of male teachers)",Education: Inputs,Education
SE.PRM.TCAQ.ZS,Trained teachers in primary education (% of total teachers),Education: Inputs,Education
SE.PRM.TCHR,"Primary education, teachers",Education: Inputs,Education
SE.PRM.TCHR.FE.ZS,"Primary education, teachers (% female)",Education: Inputs,Education
SE.PRM.TENR,"Adjusted net enrollment rate, primary (% of primary school age children)",Education: Participation,Education
SE.PRM.TENR.FE,"Adjusted net enrollment rate, primary, female (% of primary school age children)",Education: Participation,Education
SE.PRM.TENR.MA,"Adjusted net enrollment rate, primary, male (% of primary school age children)",Education: Participation,Education
SE.PRM.UNER,"Children out of school, primary",Education: Participation,Education
SE.PRM.UNER.FE,"Children out of school, primary, female",Education: Participation,Education
SE.PRM.UNER.FE.ZS,"Children out of school, female (% of female primary school age)",Education: Participation,Education
SE.PRM.UNER.MA,"Children out of school, primary, male",Education: Participation,Education
SE.PRM.UNER.MA.ZS,"Children out of school, male (% of male primary school age)",Education: Participation,Education
SE.PRM.UNER.ZS,Children out of school (% of primary school age),Education: Participation,Education
SE.SEC.AGES,Lower secondary school starting age (years),Education: Inputs,Education
SE.SEC.CMPT.LO.FE.ZS,"Lower secondary completion rate, female (% of relevant age group)",Education: Outcomes,Education
SE.SEC.CMPT.LO.MA.ZS,"Lower secondary completion rate, male (% of relevant age group)",Education: Outcomes,Education
SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, total (% of relevant age group)",Education: Outcomes,Education
SE.SEC.CUAT.LO.FE.ZS,"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)",Education: Outcomes,Education
SE.SEC.CUAT.LO.MA.ZS,"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)",Education: Outcomes,Education
SE.SEC.CUAT.LO.ZS,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",Education: Outcomes,Education
SE.SEC.CUAT.PO.FE.ZS,"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",Education: Outcomes,Education
SE.SEC.CUAT.PO.MA.ZS,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",Education: Outcomes,Education
SE.SEC.CUAT.PO.ZS,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",Education: Outcomes,Education
SE.SEC.CUAT.UP.FE.ZS,"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)",Education: Outcomes,Education
SE.SEC.CUAT.UP.MA.ZS,"Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)",Education: Outcomes,Education
SE.SEC.CUAT.UP.ZS,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",Education: Outcomes,Education
SE.SEC.DURS,"Secondary education, duration (years)",Education: Outcomes,Education
SE.SEC.ENRL,"Secondary education, pupils",Education: Participation,Education
SE.SEC.ENRL.FE.ZS,"Secondary education, pupils (% female)",Education: Participation,Education
SE.SEC.ENRL.GC,"Secondary education, general pupils",Education: Participation,Education
SE.SEC.ENRL.GC.FE.ZS,"Secondary education, general pupils (% female)",Education: Participation,Education
SE.SEC.ENRL.LO.TC.ZS,"Pupil-teacher ratio, lower secondary",Education: Inputs,Education
SE.SEC.ENRL.TC.ZS,"Pupil-teacher ratio, secondary",Education: Inputs,Education
SE.SEC.ENRL.UP.TC.ZS,"Pupil-teacher ratio, upper secondary",Education: Inputs,Education
SE.SEC.ENRL.VO,"Secondary education, vocational pupils",Education: Participation,Education
SE.SEC.ENRL.VO.FE.ZS,"Secondary education, vocational pupils (% female)",Education: Participation,Education
SE.SEC.ENRR,"School enrollment, secondary (% gross)",Education: Participation,Education
SE.SEC.ENRR.FE,"School enrollment, secondary, female (% gross)",Education: Participation,Education
SE.SEC.ENRR.MA,"School enrollment, secondary, male (% gross)",Education: Participation,Education
SE.SEC.NENR,"School enrollment, secondary (% net)",Education: Participation,Education
SE.SEC.NENR.FE,"School enrollment, secondary, female (% net)",Education: Participation,Education
SE.SEC.NENR.MA,"School enrollment, secondary, male (% net)",Education: Participation,Education
SE.SEC.PRIV.ZS,"School enrollment, secondary, private (% of total secondary)",Education: Participation,Education
SE.SEC.PROG.FE.ZS,"Progression to secondary school, female (%)",Education: Efficiency,Education
SE.SEC.PROG.MA.ZS,"Progression to secondary school, male (%)",Education: Efficiency,Education
SE.SEC.PROG.ZS,Progression to secondary school (%),Education: Efficiency,Education
SE.SEC.TCAQ.FE.ZS,"Trained teachers in secondary education, female (% of female teachers)",Education: Inputs,Education
SE.SEC.TCAQ.LO.FE.ZS,"Trained teachers in lower secondary education, female (% of female teachers)",Education: Inputs,Education
SE.SEC.TCAQ.LO.MA.ZS,"Trained teachers in lower secondary education, male (% of male teachers)",Education: Inputs,Education
SE.SEC.TCAQ.LO.ZS,Trained teachers in lower secondary education (% of total teachers),Education: Inputs,Education
SE.SEC.TCAQ.MA.ZS,"Trained teachers in secondary education, male (% of male teachers)",Education: Inputs,Education
SE.SEC.TCAQ.UP.FE.ZS,"Trained teachers in upper secondary education, female (% of female teachers)",Education: Inputs,Education
SE.SEC.TCAQ.UP.MA.ZS,"Trained teachers in upper secondary education, male (% of male teachers)",Education: Inputs,Education
SE.SEC.TCAQ.UP.ZS,Trained teachers in upper secondary education (% of total teachers),Education: Inputs,Education
SE.SEC.TCAQ.ZS,Trained teachers in secondary education (% of total teachers),Education: Inputs,Education
SE.SEC.TCHR,"Secondary education, teachers",Education: Inputs,Education
SE.SEC.TCHR.FE,"Secondary education, teachers, female",Education: Inputs,Education
SE.SEC.TCHR.FE.ZS,"Secondary education, teachers (% female)",Education: Inputs,Education
SE.SEC.UNER.LO.FE.ZS,"Adolescents out of school, female (% of female lower secondary school age)",Education: Participation,Education
SE.SEC.UNER.LO.MA.ZS,"Adolescents out of school, male (% of male lower secondary school age)",Education: Participation,Education
SE.SEC.UNER.LO.ZS,Adolescents out of school (% of lower secondary school age),Education: Participation,Education
SE.TER.CUAT.BA.FE.ZS,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Education: Outcomes,Education
SE.TER.CUAT.BA.MA.ZS,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Education: Outcomes,Education
SE.TER.CUAT.BA.ZS,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",Education: Outcomes,Education
SE.TER.CUAT.DO.FE.ZS,"Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)",Education: Outcomes,Education
SE.TER.CUAT.DO.MA.ZS,"Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)",Education: Outcomes,Education
SE.TER.CUAT.DO.ZS,"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",Education: Outcomes,Education
SE.TER.CUAT.MS.FE.ZS,"Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)",Education: Outcomes,Education
SE.TER.CUAT.MS.MA.ZS,"Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative)",Education: Outcomes,Education
SE.TER.CUAT.MS.ZS,"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",Education: Outcomes,Education
SE.TER.CUAT.ST.FE.ZS,"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)",Education: Outcomes,Education
SE.TER.CUAT.ST.MA.ZS,"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)",Education: Outcomes,Education
SE.TER.CUAT.ST.ZS,"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",Education: Outcomes,Education
SE.TER.ENRL.TC.ZS,"Pupil-teacher ratio, tertiary",Education: Inputs,Education
SE.TER.ENRR,"School enrollment, tertiary (% gross)",Education: Participation,Education
SE.TER.ENRR.FE,"School enrollment, tertiary, female (% gross)",Education: Participation,Education
SE.TER.ENRR.MA,"School enrollment, tertiary, male (% gross)",Education: Participation,Education
SE.TER.TCHR.FE.ZS,"Tertiary education, academic staff (% female)",Education: Inputs,Education
SE.XPD.CPRM.ZS,"Current education expenditure, primary (% of total expenditure in primary public institutions)",Education: Inputs,Education
SE.XPD.CSEC.ZS,"Current education expenditure, secondary (% of total expenditure in secondary public institutions)",Education: Inputs,Education
SE.XPD.CTER.ZS,"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)",Education: Inputs,Education
SE.XPD.CTOT.ZS,"Current education expenditure, total (% of total expenditure in public institutions)",Education: Inputs,Education
